bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
2000263,BATHTOLA-2 BOX CULVERT,N2,A,10,False,0,0,1,1234567
2000278,Bridge start,N2,B,0,False,0,0,1,1234567
2000284,Bridge start,N2,B,0,False,0,0,1,1234567
2000288,BARIUSA RCC GIDER BRIDGE (2 bridges at crossing),N2,C,43,False,0,0,1,1234567
2000292,Bridge start,N2,B,0,False,0,0,1,1234567
2000297,BARURA BOX CULVERT,N2,A,12,False,0,0,1,1234567
2000303,Chatol Bridge (2 bridges at crossing),N2,A,27,False,0,0,1,1234567
2000306,Bridge start,N2,B,0,False,0,0,1,1234567
2000314,RAMPUR P C GIRDER BRIDGE (2 bridges at crossing),N2,C,64,False,0,0,1,1234567
2000316,KATAKHALI BRIDGE (2 bridges at crossing),N2,A,34,False,0,0,1,1234567
2000320,Khilsima Bridge,N2,C,27,False,0,0,1,1234567
2000324,Bridge start,N2,B,0,False,0,0,1,1234567
2000330,Bridge start,N2,B,0,False,0,0,1,1234567
2000346,KHATABARI CULVERT,N2,A,10,False,0,0,1,1234567
2000350,Bridge start/ Start of Habiganj road Division / Bridge start/ Start of Habiganj road Division,N2,B,0,False,0,0,1,1234567
2000356,Bridge start,N2,B,0,False,0,0,1,1234567
2000360,Bridge start,N2,B,0,False,0,0,1,1234567
2000366,Bridge start,N2,B,0,False,0,0,1,1234567
2000370,Bridge start,N2,B,0,False,0,0,1,1234567
2000374,Bridge start,N2,B,0,False,0,0,1,1234567
2000378,Bridge start,N2,B,0,False,0,0,1,1234567
2000388,JAGADISHPUR 2 BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000391,BELGOR CULVERT,N2,A,2,False,0,0,1,1234567
2000396,NARAONPUR CULVERT,N2,A,8,False,0,0,1,1234567
2000399,ITAKHOLA BOX CULVERT,N2,A,3,False,0,0,1,1234567
2000408,PATONPUR,N2,A,6,False,0,0,1,1234567
2000417,Shapur Bridge (2 bridges at crossing),N2,A,30,False,0,0,1,1234567
2000419,SAHAPUR BOX CULVERT,N2,A,3,False,0,0,1,1234567
2000424,HORI TOLA BOX CULVERT,N2,A,7,False,0,0,1,1234567
2000429,SHIBPUR BOX CULVERT,N2,A,8,False,0,0,1,1234567
2000439,RIAZ NAGAR BOX CULVERT,N2,A,2,False,0,0,1,1234567
